"default","student","balance","income"
0,0,729.526495207286,44361.6250742669
0,0,785.655882930501,38463.4958787229
0,1,919.5885304745,7491.55857182746
0,0,825.513330517201,24905.2265775235
0,1,808.667504297266,17600.4513435869
0,0,1161.05785403132,37468.5292875375
0,0,0,29275.2682931678
0,1,0,21871.0730892776
0,1,1220.58375300377,13268.5622209261
0,0,237.045113977472,28251.6953449631
0,0,606.742343302464,44994.5558492173
0,0,1112.96840063305,23810.174050036
0,0,286.232560139224,45042.4130358855
0,0,0,50265.3123535985
0,1,527.540184074571,17636.5396172936
0,0,485.936864171729,61566.106117801
0,0,1095.0727352874,26464.631389229
0,0,228.952549642572,50500.1821977441
0,0,954.261792773545,32457.5090750754
0,0,1055.95660472904,51317.8830823874
0,0,641.984388848021,30466.1032574814
0,0,773.211724534176,34353.3143050038
0,0,855.008522525692,25211.3321614539
0,0,642.999738515429,41473.5118010187
0,0,1454.86327248404,32189.0949523178
0,0,615.704276560405,39376.3946187014
0,1,1119.56935332865,16556.0702053511
0,0,494.816228807326,54384.7828361386
0,1,448.880656256039,15799.4704097956
0,1,584.90489468245,22429.9350462168
0,0,913.587172608928,46907.2254028623
0,1,1423.93891664088,22634.4880875812
0,1,1499.72465655973,13190.6527164103
0,0,692.034167065432,47806.6117728963
0,0,351.45347152301,35087.4886480858
0,0,742.627620785597,37864.8239388952
0,0,653.118400123388,39489.5947028613
0,0,872.138679538477,41787.5672689012
0,0,837.262622754171,51471.7720946377
0,0,1151.63056608265,42917.4695636282
0,1,220.55560838644,16872.9475557814
0,1,1690.23441038701,19052.5722246955
0,0,408.772914305185,54206.9392120179
0,0,1238.61032124112,50066.6805336538
0,0,1228.30835035336,37408.5038685076
0,0,820.919204146184,47746.5420731016
0,0,857.4851177765,31688.3459738919
0,0,563.618177182362,42641.253266646
0,1,1282.97253359578,13120.6364696027
0,1,1505.78267482884,26557.1414458808
0,1,904.040259066813,16882.3006056535
0,0,0,49956.580571906
0,1,1294.4973466731,10464.3207319231
0,1,1275.55063272364,15887.4684867774
0,0,1536.59460097252,48766.9074575615
0,0,1332.52264386695,39143.1370690178
0,0,492.079767815411,33379.0946028395
0,0,766.234379303894,46478.2942569524
0,0,690.127246199993,63432.9842544674
0,0,0,32481.5400461151
0,0,1480.65530926266,36866.1570686848
0,0,989.055596975304,45344.2513202648
0,0,1302.34183516856,33695.4262332636
0,0,1044.55234328472,54696.7659816226
0,0,0,43658.2277239957
0,0,866.02843636799,38363.4216347118
0,0,690.800792354134,48140.471335995
0,0,597.757142017061,31577.6151255677
0,0,429.485402306276,51311.218101023
0,0,1398.15620148326,39644.9421931896
0,1,1578.06409853994,19886.4939515168
0,0,857.069053134242,26655.6889653755
0,1,752.459945958806,16211.2757881826
0,1,774.738426963927,15193.733135525
0,0,728.373251302587,45131.718264691
0,0,76.9912905299071,28392.0934122846
0,0,196.456913136183,41346.78591324
0,1,948.747918388616,14297.6190485513
0,0,431.920885304176,39369.8815631008
0,0,461.63818223378,46221.2114948234
0,0,572.015760230599,33046.3129575033
0,0,335.568144733179,51258.4442299621
0,0,510.23759315638,60397.7186486948
0,1,1005.16130555577,24038.6520433118
0,1,162.454451086564,13241.7520600759
0,0,932.533155682331,50537.4656484602
0,1,893.330467612275,11905.6817925484
0,0,1332.78256352571,44495.1627629054
0,0,1404.38306945215,35043.1060286742
0,1,1148.96513915926,16578.1921184729
0,0,368.223425720545,57596.8258431935
0,0,449.466628769273,45950.6667238686
0,0,820.017112578423,51584.6573183834
0,1,619.751868575593,15750.6220834222
0,0,1047.71812400961,46416.9709942419
0,0,243.84132832576,47193.8881309706
0,0,186.500386931495,45430.5502710943
0,0,1422.01848757576,38224.0315214972
0,0,383.798659005674,61425.286388114
0,0,1159.43509608859,45802.1049386909
0,0,882.99191255185,17181.7379663818
0,0,1463.23289161086,65457.8541875824
0,1,1722.35584628315,19311.4229408044
0,1,773.921861257735,14558.9121383835
0,0,958.169418468988,32816.2847956415
0,0,1207.53273014951,68037.5751261777
0,0,1056.6108304963,30546.6010343774
0,0,117.642483931776,46550.2672705963
0,0,596.964119237004,58088.3604512649
0,0,0,47729.6257581971
0,1,541.662755324457,16335.7034406021
0,0,1119.17830341806,45020.0191217013
0,1,810.320936469835,20498.66581411
0,0,271.55143774701,32850.1201448079
0,0,1114.40323650428,47714.0221084582
0,0,867.030828053565,33540.9799848111
0,1,1176.7894016772,17632.712103849
0,0,610.227818661398,42465.3629640684
0,0,272.615661715535,55449.3386406402
0,0,449.735085836859,49643.4264416677
0,1,827.767209400324,10673.5262253922
0,0,430.000099449901,33925.2195976742
0,0,0,31825.7649719215
0,1,1557.34463668228,18404.594189222
0,0,928.236966261476,33722.1589415677
0,0,1373.45016328929,49101.7982141897
0,1,951.072907499984,18601.5332374944
0,1,1292.21086850542,23065.850975377
0,0,582.188700706555,24760.7957330564
0,1,339.424638280913,19307.98029025
0,0,409.982324608766,44641.090118396
0,0,1216.45150955433,53639.8468273843
0,0,598.461392123585,44124.2681146436
1,1,1486.99812160021,17854.3970280731
0,0,943.796338713762,59976.8398676444
0,0,0,49525.7450208494
0,1,996.276086766592,20883.2407676238
0,1,748.301340361255,11248.6707527348
0,0,324.737921782032,15411.5185672943
0,1,575.382158489508,16005.6813190057
0,0,441.738284926253,36012.2358964554
0,0,1188.64217955294,39526.5612652646
0,0,95.1476801904055,51371.1999147598
0,0,1015.61483748402,43218.794375243
0,0,1258.56739272567,44931.6749177461
0,1,1178.24441352846,7750.28922055921
0,0,731.532656254407,43956.0600839728
0,0,350.088792139872,44455.1995150356
0,0,418.848345433837,36901.7833281202
0,0,533.229465181374,39393.5424772748
0,0,95.296974128368,32359.3890284286
0,1,1453.00593207303,15933.0021109819
0,0,352.644414031465,39404.7443664762
0,1,736.2389354625,14107.9939653376
0,0,1306.4845722752,41224.6250242432
0,0,1149.14562717899,45194.7946620784
0,0,703.226890721538,57679.2791425179
0,1,1360.80043541238,18864.3084886679
0,0,31.4450805447328,53287.3503013149
0,0,988.214458069386,48570.3634566327
0,0,360.019073584363,23927.5466133912
0,0,647.483528619273,33226.2775446785
0,1,0,9816.78943755756
0,0,445.241819216304,31974.6245068978
0,1,878.542064501041,17496.7414821956
0,1,335.834118576172,21759.8702696952
0,0,666.608881434336,30438.4688266267
0,0,813.876647019864,40737.4597766098
0,0,836.300071623191,54607.1787395438
0,0,967.48268368178,33055.1102723298
1,1,2205.79952114829,14271.492252976
0,1,1258.18521914431,11672.2220033397
0,0,1239.80169908455,40107.1722104231
0,1,0,13760.2984556873
0,1,927.887732263607,22473.3796109537
0,1,1390.03078251892,21299.0992265335
0,0,410.497704767954,53471.2136303255
0,0,73.0765421846567,30681.7375351468
0,0,790.59775924737,45303.1033141261
0,0,789.49509698382,32579.9002059474
0,0,791.360422078743,46319.2361190854
0,0,479.042378990356,37255.8803342804
0,0,888.613272550212,28899.7917513637
0,0,1284.38636050636,42831.9546193997
0,1,712.276351280275,23341.9502302432
0,1,1290.62016864921,18408.0490819608
0,0,126.362685399057,44280.9297885654
0,0,779.376257695651,61158.8851121863
0,0,697.490957463777,49476.759599281
0,0,606.974613548306,43610.0330173371
0,1,1802.90333355739,21411.4239490249
0,0,900.085332597499,41276.5631894987
0,0,966.280287968092,33440.9792997775
0,0,671.061359639164,35689.1118739108
0,0,171.559115959856,23505.9927713232
0,0,1482.48030006315,45260.6115977848
0,0,640.662751732473,46464.5659322762
0,1,706.161027541986,18078.3517921729
1,1,1774.69422305776,20359.5060855671
0,0,916.49931692309,25768.4074467213
0,0,1271.2708123604,36053.5029503061
0,0,110.572909811983,47339.1087511931
0,0,1747.25888152959,37819.2890860198
1,0,1889.59918976304,48956.1715885681
0,0,27.2013946505765,21051.8401259701
0,0,746.229775057391,35159.8502288788
1,1,1899.3906258472,20655.2000032624
0,1,813.994565525349,20391.5289481713
0,0,499.457815094636,38899.1604610096
0,0,853.16133166086,36272.4517835911
0,0,474.727319088288,32064.3351057974
0,0,1235.87611345417,35838.7770153588
0,0,620.675152595598,44213.770101262
0,0,220.028569764934,37880.0296471597
0,1,1304.91429931829,18074.0754152021
0,1,1608.15255984335,22358.0467020111
0,0,256.471227559815,37657.0559167999
0,1,1153.60499815384,19224.9752298419
0,0,771.895874508519,31170.0852836766
0,1,1099.63042217728,17064.0428279584
0,0,782.883029663905,40357.1334266019
0,0,444.264906175272,35924.3387929274
0,0,504.02837873803,24780.9612369205
0,0,1762.50340198816,42124.6600673934
0,1,850.096116596461,18618.9879075019
0,0,1412.23872130317,40785.0597694212
0,0,715.496829588669,47482.5653767305
0,0,1363.52859942133,55713.0416079129
0,0,493.241889799387,42495.2030840663
0,0,1354.75253720358,33375.1316903778
0,1,571.293911015155,15416.2693546858
0,0,956.15135218345,44086.7077342314
0,0,964.820252985381,34390.7460350566
0,0,552.634366024658,50513.1642384347
0,0,338.266201647092,37767.239862893
0,0,709.123351356216,44041.6300941084
0,0,978.978200410458,57839.0537343736
0,0,371.010127817542,15702.7070830359
1,1,1572.85648082363,14930.1783306833
