"default,""student"",""balance"",""income"""
0,0,729.526495207286,44361.6250742669
0,1,817.180406555498,12106.1347003149
0,0,1073.54916401173,31767.1389473999
0,0,506.625453519083,49861.0034106156
0,0,875.241640429435,52861.7441970002
0,0,842.949429303309,39957.1278550817
0,1,401.332673531641,15332.0178326495
0,0,1092.90658305201,45479.4669852726
0,0,0,41740.6865972451
0,1,999.281111981561,20013.3506439163
0,0,372.379238540558,25374.8990852495
0,0,658.799558170067,54802.078221336
0,0,1111.64731685838,45490.6824625512
0,0,938.83624142578,56633.4487439326
0,1,172.412987480205,14955.9416889885
0,0,711.555020492185,52992.3789139665
0,0,757.962918447896,19660.721767987
0,0,845.411989217448,58636.1569838071
0,0,1569.00905338372,36669.1123645833
0,1,200.922182634797,16862.9523209407
0,0,228.952549642572,50500.1821977441
0,0,954.261792773545,32457.5090750754
0,0,1055.95660472904,51317.8830823874
0,0,641.984388848021,30466.1032574814
0,0,773.211724534176,34353.3143050038
0,0,855.008522525692,25211.3321614539
0,0,642.999738515429,41473.5118010187
0,0,1454.86327248404,32189.0949523178
0,0,615.704276560405,39376.3946187014
0,1,1119.56935332865,16556.0702053511
0,0,494.816228807326,54384.7828361386
0,1,448.880656256039,15799.4704097956
0,1,584.90489468245,22429.9350462168
0,0,913.587172608928,46907.2254028623
0,1,1423.93891664088,22634.4880875812
0,1,1499.72465655973,13190.6527164103
0,0,692.034167065432,47806.6117728963
0,0,351.45347152301,35087.4886480858
0,0,742.627620785597,37864.8239388952
0,0,653.118400123388,39489.5947028613
0,0,872.138679538477,41787.5672689012
0,0,529.250604745278,35704.4939350781
0,0,785.655882930501,38463.4958787229
0,1,919.5885304745,7491.55857182746
0,0,825.513330517201,24905.2265775235
0,1,808.667504297266,17600.4513435869
0,0,1161.05785403132,37468.5292875375
0,0,0,29275.2682931678
0,1,0,21871.0730892776
0,1,1220.58375300377,13268.5622209261
0,0,237.045113977472,28251.6953449631
0,0,606.742343302464,44994.5558492173
0,0,1112.96840063305,23810.174050036
0,0,286.232560139224,45042.4130358855
0,0,0,50265.3123535985
0,1,527.540184074571,17636.5396172936
0,0,485.936864171729,61566.106117801
0,0,1095.0727352874,26464.631389229
0,0,1332.52264386695,39143.1370690178
0,0,492.079767815411,33379.0946028395
0,0,766.234379303894,46478.2942569524
0,0,690.127246199993,63432.9842544674
0,0,0,32481.5400461151
0,0,1480.65530926266,36866.1570686848
0,0,989.055596975304,45344.2513202648
0,0,1302.34183516856,33695.4262332636
0,0,1044.55234328472,54696.7659816226
0,0,0,43658.2277239957
0,0,866.02843636799,38363.4216347118
0,0,690.800792354134,48140.471335995
0,0,597.757142017061,31577.6151255677
0,0,429.485402306276,51311.218101023
0,0,1398.15620148326,39644.9421931896
0,1,1578.06409853994,19886.4939515168
0,0,857.069053134242,26655.6889653755
0,1,752.459945958806,16211.2757881826
0,1,774.738426963927,15193.733135525
0,0,728.373251302587,45131.718264691
0,0,76.9912905299071,28392.0934122846
0,0,196.456913136183,41346.78591324
0,1,948.747918388616,14297.6190485513
0,0,431.920885304176,39369.8815631008
0,0,461.63818223378,46221.2114948234
0,0,572.015760230599,33046.3129575033
0,0,1092.42595724569,43578.6469767627
0,0,748.487023875035,40727.1415628446
0,0,631.512865795982,35053.3471968094
0,0,477.907292410447,34318.9831975541
0,0,1128.7915629401,29722.1726627668
1,1,1627.89832265731,17546.9970160528
0,0,625.870177750823,53756.0440632584
0,0,751.366627619233,31574.4211611568
0,0,1074.5145384901,41545.6835352068
0,1,501.058247569098,23090.9971921175
